method_id,method_label,n_runs,f1_mean,f1_std,bacc_mean,bacc_std,acc_mean,acc_std,auc_mean,auc_std,f1_mean_std,bacc_mean_std
DHTL_wo_KMD,DHTL-Net,30,0.9081536803425351,0.008050717112229837,0.908815322412255,0.007632764951827804,0.9082914572864322,0.00809302683839518,0.9704485488126648,0.0034232201911705232,90.82+/-0.81,90.88+/-0.76
DAF,DHTL-Net w/o KMD,30,0.9030965126638663,0.00769365874824405,0.903802762539309,0.007310047815811055,0.9032663316582916,0.0077442386971971686,0.9672000658048759,0.004087998103517365,90.31+/-0.77,90.38+/-0.73
fusion_residual,Residual,30,0.8837046270873682,0.010166653557169801,0.884592167954291,0.010042905379769337,0.8839195979899497,0.010073778993331433,0.9539106445714142,0.005240137063677113,88.37+/-1.02,88.46+/-1.00
fusion_fixed_interp,FixedInterp,30,0.8678651024511623,0.004699075886538007,0.8690755047676898,0.006297907805685219,0.8680904522613065,0.004529587029477354,0.9403877425763876,0.005166541967910557,86.79+/-0.47,86.91+/-0.63
fusion_learnable_interp,LearnableInterp,30,0.8750516444580037,0.009445028731643094,0.8763191030289225,0.01003356144683228,0.8751256281407034,0.009384346430644766,0.9470232784748454,0.006655157009631396,87.51+/-0.94,87.63+/-1.00
fusion_gating,Gating,30,0.8734808732200634,0.0010364452193032333,0.874447460501256,0.000818986724385198,0.8736180904522612,0.0011236522499999198,0.9457982954006189,0.003532916145175364,87.35+/-0.10,87.44+/-0.08
fusion_adapter,Adapter,30,0.8781042069322377,0.007338207685795088,0.8801345203520562,0.00755108761093165,0.878140703517588,0.0073253164508106814,0.9450225571521674,0.004975107593751912,87.81+/-0.73,88.01+/-0.76
transfer_frozen,Frozen,30,0.7855453930900116,0.0024717766890966428,0.7884227710180141,0.0033473985868088187,0.7856783919597989,0.0026050805720260754,0.8788506925330448,0.003247670352675579,78.55+/-0.25,78.84+/-0.33
transfer_all,All,30,0.8855556730326992,0.013210683907293913,0.8865833981891005,0.013690809829983126,0.885678391959799,0.013085845889447013,0.9532747416842252,0.007771770409442837,88.56+/-1.32,88.66+/-1.37
transfer_l4,FT-S4,30,0.8735677021488796,0.011969850725440927,0.8747119454831914,0.011669333897728233,0.8736180904522612,0.012003898678986203,0.9401162974633486,0.0063551736605177685,87.36+/-1.20,87.47+/-1.17
transfer_l34,FT-S3-S4,30,0.8776066668518467,0.008139687126995034,0.8790778459026974,0.008323701616696051,0.8776381909547739,0.00812222606796212,0.9452060515176249,0.0036542082484620694,87.76+/-0.81,87.91+/-0.83
transfer_l234,FT-S2-S4,30,0.885142503054172,0.014636802335093773,0.8868010604708845,0.014034019149211525,0.885175879396985,0.014666782786629395,0.9524135836449574,0.008582816642526707,88.51+/-1.46,88.68+/-1.40
