batch_size,latency_ms_per_batch,latency_ms_per_image,vram_peak_mb,input_size,profile_iters,warmup_iters,method_id,method_label,seed,run_dir
8,6.328912862141928,0.7911141077677409,2992.68505859375,224,30,10,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0
16,8.816331990559895,0.5510207494099935,883.66943359375,224,30,10,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0
32,17.122969563802084,0.5350927988688151,1172.18505859375,224,30,10,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0
64,35.64134928385417,0.5568960825602214,3645.37255859375,224,30,10,DHTL_wo_KMD,DHTL-Net,0,runs_binary_iqa/DHTL_wo_KMD_seed0
8,11.729374186197916,1.4661717732747397,2993.12646484375,224,30,10,DAF,DHTL-Net w/o KMD,0,runs_binary_iqa/DAF_seed0
16,12.483399454752604,0.7802124659220377,886.69384765625,224,30,10,DAF,DHTL-Net w/o KMD,0,runs_binary_iqa/DAF_seed0
32,22.923687744140626,0.7163652420043946,1174.40771484375,224,30,10,DAF,DHTL-Net w/o KMD,0,runs_binary_iqa/DAF_seed0
64,79.18684895833333,1.2372945149739585,3648.03271484375,224,30,10,DAF,DHTL-Net w/o KMD,0,runs_binary_iqa/DAF_seed0
8,8.72735595703125,1.0909194946289062,3226.421875,224,30,10,fusion_residual,Residual,0,runs_binary_iqa/fusion_residual_seed0
16,18.23234659830729,1.1395216623942055,1113.78173828125,224,30,10,fusion_residual,Residual,0,runs_binary_iqa/fusion_residual_seed0
32,28.608831787109374,0.8940259933471679,1396.62548828125,224,30,10,fusion_residual,Residual,0,runs_binary_iqa/fusion_residual_seed0
64,48.54376627604167,0.758496348063151,3882.125,224,30,10,fusion_residual,Residual,0,runs_binary_iqa/fusion_residual_seed0
8,4.974116516113281,0.6217645645141602,3044.39990234375,224,30,10,fusion_fixed_interp,FixedInterp,0,runs_binary_iqa/fusion_fixed_interp_seed0
16,7.794927978515625,0.4871829986572266,984.64990234375,224,30,10,fusion_fixed_interp,FixedInterp,0,runs_binary_iqa/fusion_fixed_interp_seed0
32,17.794301350911457,0.556071917215983,1321.58740234375,224,30,10,fusion_fixed_interp,FixedInterp,0,runs_binary_iqa/fusion_fixed_interp_seed0
64,68.60817057291666,1.0720026652018229,3697.08740234375,224,30,10,fusion_fixed_interp,FixedInterp,0,runs_binary_iqa/fusion_fixed_interp_seed0
8,5.062484232584636,0.6328105290730794,3227.0693359375,224,30,10,fusion_learnable_interp,LearnableInterp,0,runs_binary_iqa/fusion_learnable_interp_seed0
16,7.910966491699218,0.4944354057312011,1169.10498046875,224,30,10,fusion_learnable_interp,LearnableInterp,0,runs_binary_iqa/fusion_learnable_interp_seed0
32,15.94960428873698,0.4984251340230306,1506.54248046875,224,30,10,fusion_learnable_interp,LearnableInterp,0,runs_binary_iqa/fusion_learnable_interp_seed0
64,34.11514078776042,0.5330490748087565,3882.0224609375,224,30,10,fusion_learnable_interp,LearnableInterp,0,runs_binary_iqa/fusion_learnable_interp_seed0
8,8.771033732096354,1.0963792165120445,3247.43896484375,224,30,10,fusion_gating,Gating,0,runs_binary_iqa/fusion_gating_seed0
16,8.137674458821614,0.5086046536763509,1188.76708984375,224,30,10,fusion_gating,Gating,0,runs_binary_iqa/fusion_gating_seed0
32,20.524092610677084,0.6413778940836589,1525.01708984375,224,30,10,fusion_gating,Gating,0,runs_binary_iqa/fusion_gating_seed0
64,58.83183186848958,0.9192473729451496,3902.00927734375,224,30,10,fusion_gating,Gating,0,runs_binary_iqa/fusion_gating_seed0
8,5.28084716796875,0.6601058959960937,3240.6298828125,224,30,10,fusion_adapter,Adapter,0,runs_binary_iqa/fusion_adapter_seed0
16,10.50401611328125,0.6565010070800781,1133.8330078125,224,30,10,fusion_adapter,Adapter,0,runs_binary_iqa/fusion_adapter_seed0
32,16.48860880533854,0.5152690251668294,1420.4580078125,224,30,10,fusion_adapter,Adapter,0,runs_binary_iqa/fusion_adapter_seed0
64,43.90350341796875,0.6859922409057617,3893.9580078125,224,30,10,fusion_adapter,Adapter,0,runs_binary_iqa/fusion_adapter_seed0
8,7.156324259440104,0.894540532430013,2464.78955078125,224,30,10,transfer_frozen,Frozen,0,runs_binary_iqa/transfer_frozen_seed0
16,11.304011027018229,0.7065006891886393,276.68017578125,224,30,10,transfer_frozen,Frozen,0,runs_binary_iqa/transfer_frozen_seed0
32,7.58551991780599,0.2370474974314372,443.11767578125,224,30,10,transfer_frozen,Frozen,0,runs_binary_iqa/transfer_frozen_seed0
64,42.98702799479167,0.6716723124186198,2818.61767578125,224,30,10,transfer_frozen,Frozen,0,runs_binary_iqa/transfer_frozen_seed0
8,5.872331746419271,0.7340414683024089,2740.92236328125,224,30,10,transfer_all,All,0,runs_binary_iqa/transfer_all_seed0
16,9.85220235188802,0.6157626469930013,551.45361328125,224,30,10,transfer_all,All,0,runs_binary_iqa/transfer_all_seed0
32,16.180459594726564,0.5056393623352051,717.89111328125,224,30,10,transfer_all,All,0,runs_binary_iqa/transfer_all_seed0
64,28.134381103515626,0.4395997047424316,3094.39111328125,224,30,10,transfer_all,All,0,runs_binary_iqa/transfer_all_seed0
8,2.466192118326823,0.3082740147908528,2640.17236328125,224,30,10,transfer_l4,FT-S4,0,runs_binary_iqa/transfer_l4_seed0
16,3.9756820678710936,0.2484801292419433,451.29736328125,224,30,10,transfer_l4,FT-S4,0,runs_binary_iqa/transfer_l4_seed0
32,7.648070271809896,0.2390021959940592,617.73486328125,224,30,10,transfer_l4,FT-S4,0,runs_binary_iqa/transfer_l4_seed0
64,16.40177205403646,0.2562776883443197,2993.23486328125,224,30,10,transfer_l4,FT-S4,0,runs_binary_iqa/transfer_l4_seed0
8,2.529316202799479,0.3161645253499349,2725.15673828125,224,30,10,transfer_l34,FT-S3-S4,0,runs_binary_iqa/transfer_l34_seed0
16,3.8481353759765615,0.2405084609985351,535.34423828125,224,30,10,transfer_l34,FT-S3-S4,0,runs_binary_iqa/transfer_l34_seed0
32,15.039051310221357,0.4699703534444173,701.78173828125,224,30,10,transfer_l34,FT-S3-S4,0,runs_binary_iqa/transfer_l34_seed0
64,16.157804361979167,0.2524656931559245,3077.28173828125,224,30,10,transfer_l34,FT-S3-S4,0,runs_binary_iqa/transfer_l34_seed0
8,3.4623936971028644,0.432799212137858,2735.58251953125,224,30,10,transfer_l234,FT-S2-S4,0,runs_binary_iqa/transfer_l234_seed0
16,6.372574869791666,0.3982859293619791,547.00439453125,224,30,10,transfer_l234,FT-S2-S4,0,runs_binary_iqa/transfer_l234_seed0
32,16.228141276041665,0.507129414876302,713.25439453125,224,30,10,transfer_l234,FT-S2-S4,0,runs_binary_iqa/transfer_l234_seed0
64,19.520670572916668,0.3050104777018229,3089.75439453125,224,30,10,transfer_l234,FT-S2-S4,0,runs_binary_iqa/transfer_l234_seed0
